file,LINE,ARC,CIRCLE,LWPOLYLINE,POLYLINE,INSERT,SPLINE,ELLIPSE,HATCH,OTHER
10x10 Square.dxf,2,0,0,1,0,0,0,0,0,2
11764850_IDW_000_--11764850_IDW_000.DXF,6,0,4,0,0,0,0,0,0,0
11766952_IDW_000_--11766952_IDW_000.DXF,8,0,0,0,0,0,0,0,0,0
11767263_IDW_000_--11767263_IDW_000.DXF,8,0,0,0,0,0,0,0,0,0
11767264_IDW_000_--11767264_IDW_000.DXF,8,0,0,0,0,0,0,0,0,0
11767266_IDW_000_--11767266_IDW_000.DXF,14,8,0,0,0,0,0,0,0,0
307-003 PL01.dxf,0,0,0,0,0,0,0,0,0,0
C-6120 - Mk 14 - 80 Reqd - Three Eights A36.dxf,8,4,0,0,0,0,0,0,0,0
lDCxP-the-mandalorian-star-wars-figure.dxf,0,0,0,0,0,0,72,0,0,0
rectangle.dxf,8,0,0,0,0,0,0,0,0,0
test1.dxf,2,2,1,0,0,0,0,0,0,0
test10.dxf,0,0,1,1,0,0,0,0,0,2
test11.dxf,2,0,0,2,0,0,0,0,0,3
test12.dxf,0,0,1,1,0,0,0,0,0,2
test13.dxf,2,0,0,2,0,0,0,0,0,2
test2.dxf,2,2,1,0,0,0,0,0,0,0
test3.dxf,16,16,0,0,0,0,0,0,0,0
test4.dxf,0,0,0,2,0,0,0,0,0,1
test5.dxf,2,0,1,1,0,0,0,0,0,2
test6.dxf,11,0,0,1,0,0,0,0,0,0
test7.dxf,8,4,0,0,0,0,0,0,0,1
test8.dxf,21,1,0,3,0,0,0,0,0,4
test9.dxf,0,0,0,2,0,0,0,0,0,2
Zz343-batman-wall-decor.dxf,0,0,0,0,0,0,9,0,0,0
